Name,ProductCode,Description,Family,SBQQ__PricingMethod__c,SBQQ__ChargeType__c,SBQQ__BillingFrequency__c,SBQQ__BillingType__c,SBQQ__SubscriptionTerm__c,SBQQ__SubscriptionType__c,SBQQ__SubscriptionPricing__c,SBQQ__SubscriptionBase__c,SBQQ__SubscriptionCategory__c,SBQQ__SubscriptionPercent__c,SBQQ__DynamicPricingConstraint__c,SBQQ__ProductPictureID__c,SBQQ__ConfigurationType__c,SBQQ__ConfigurationEvent__c,IsActive,SBQQ__Component__c,SBQQ__TermDiscountLevel__c,SBQQ__DefaultPricingTable__c,SBQQ__Taxable__c,SBQQ__NonDiscountable__c,SBQQ__NonPartnerDiscountable__c,SBQQ__PricingMethodEditable__c,SBQQ__AssetAmendmentBehavior__c,SBQQ__AssetConversion__c,SBQQ__BatchQuantity__c,SBQQ__BlockPricingField__c,SBQQ__CompoundDiscountRate__c,SBQQ__ConfiguredCodePattern__c,SBQQ__ConfiguredDescriptionPattern__c,SBQQ__CostEditable__c,SBQQ__CustomerCommunityAvailability__c,SBQQ__DefaultQuantity__c,SBQQ__DescriptionLocked__c,SBQQ__EnableLargeConfiguration__c,SBQQ__ExcludeFromMaintenance__c,SBQQ__ExcludeFromOpportunity__c,SBQQ__ExternallyConfigurable__c,SBQQ__GenerateContractedPrice__c,SBQQ__Hidden__c,SBQQ__HidePriceInSearchResults__c,SBQQ__IncludeInMaintenance__c,SBQQ__NewQuoteGroup__c,SBQQ__OptionLayout__c,SBQQ__OptionSelectionMethod__c,SBQQ__Optional__c,SBQQ__PriceEditable__c,SBQQ__QuantityEditable__c,SBQQ__QuantityScale__c,SBQQ__ReconfigurationDisabled__c,SBQQ__SortOrder__c,SBQQ__Specifications__c,SBQQ__TaxCode__c,SBQQ__UpgradeRatio__c,ChargeModel__c,UsageType__c,UsageTerm__c,CreditCarryoverType__c,CreditDistributionAmend__c,CarryoverFactor__c,CarryoverLimit__c,blng__BillingRule__c,blng__RevenueRecognitionRule__c,blng__TaxRule__c,SBQQ__DiscountSchedule__c,SBQQ__TermDiscountSchedule__c,SBQQ__CostSchedule__c,SBQQ__PricingGuidance__c,Errors,Id
Subscription (Monthly),,,,List,Recurring,Monthly,Advance,1,Renewable,Fixed Price,List,,,,,,,true,false,,,false,false,false,false,Default,,,Quantity,,,,false,,1,false,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,3,,,,Subscription,,,,,,,a2o8d000000IFYIAA4,a3Y8d000000IMUsEAO,a3g8d000000gPwDAAU,,,,,,01t8d000002PCkAAAW
One-Time (Digital),,,,List,One-Time,,,,,,List,,,,,,,true,false,,,false,false,false,false,Default,,,Quantity,,,,false,,1,false,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,1,,,,One-Time,,,,,,,a2o8d000000IFYIAA4,a3Y8d000000IMUtEAO,a3g8d000000gPwDAAU,,,,,,01t8d000002PCkBAAW
Subscription (Yearly),,,,List,Recurring,Annual,Advance,1,Renewable,Fixed Price,List,,,,,,,true,false,,,false,false,false,false,Default,,,Quantity,,,,false,,1,false,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,4,,,,Subscription,,,,,,,a2o8d000000IFYIAA4,a3Y8d000000IMUrEAO,a3g8d000000gPwDAAU,,,,,,01t8d000002PCkCAAW
Usage (Standard),,,,List,Recurring,Monthly,Arrears,1,Renewable,Fixed Price,List,,,,,,,false,false,,,false,false,false,false,Default,,,Quantity,,,,false,,1,false,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,5,,,,Usage,Standard,,,,,,a2o8d000000IFYIAA4,a3Y8d000000IMUuEAO,a3g8d000000gPwDAAU,,,,,,01t8d000002PCkDAAW
Milestone (Invoice Plan),,,,List,Recurring,Invoice Plan,Advance,,,,List,,,,,,,true,false,,,false,false,false,false,Default,,,Quantity,,,,false,,1,false,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,2,,,,Milestone,,,,,,,a2o8d000000IFYHAA4,a3Y8d000000IMUqEAO,a3g8d000000gPwDAAU,,,,,,01t8d000002PCkEAAW
Usage (Bucket),,,,List,Recurring,Monthly,Arrears,1,Renewable,Fixed Price,List,,,,,,,true,false,,,false,false,false,false,Default,,,Quantity,,,,false,,1,false,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,6,,,,Usage,Bucket,,,,,,a2o8d000000IFYIAA4,a3Y8d000000IMUuEAO,a3g8d000000gPwDAAU,,,,,,01t8d000002PCkFAAW
Usage #1 (Standard),,,,List,Recurring,Monthly,Arrears,1,Renewable,Fixed Price,List,,,,,,,true,true,,,false,false,false,false,Default,,,Quantity,,,,false,,1,false,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,7,,,,Usage,Standard,,,,,,a2o8d000000IFYIAA4,a3Y8d000000IMUuEAO,a3g8d000000gPwDAAU,,,,,,01t8d000002PCkGAAW
Usage #2 (Standard),,,,List,Recurring,Monthly,Arrears,1,Renewable,Fixed Price,List,,,,,,,true,true,,,false,false,false,false,Default,,,Quantity,,,,false,,1,false,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,8,,,,Usage,Standard,,,,,,a2o8d000000IFYIAA4,a3Y8d000000IMUuEAO,a3g8d000000gPwDAAU,,,,,,01t8d000002PCkHAAW
Committed Credits,,,,List,Recurring,Annual,Advance,12,Renewable,Fixed Price,List,,,,,,,true,false,,,false,false,false,false,Default,,,Quantity,,,,false,,1,false,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,,,,,Hybrid,Credit,12,Pool,Active Period Only,100,,a2o8d000000IFYIAA4,a3Y8d000000IMUuEAO,a3g8d000000gPwDAAU,,,,,,01t8d000002PCkIAAW
Overage,,,,List,Recurring,Monthly,Arrears,1,Renewable,Fixed Price,List,,,,,,,true,true,,,false,false,false,false,Default,,,Quantity,,,,false,,1,false,false,false,false,false,,false,false,false,false,,Click,false,false,true,,false,,,,,Usage,Standard,,,,,,a2o8d000000IFYIAA4,a3Y8d000000IMUuEAO,a3g8d000000gPwDAAU,,,,,,01t8d000002PCkJAAW
